V1005,year,cluster_label
28300258356957564594,2016,0
28323539423388728204,2016,1
28353314954528295382,2016,1
28357850910953298220,2016,0
28383498066342299393,2016,2
28390781280537293737,2016,0
28399049634737290437,2016,0
28494972536228295382,2016,2
28531633396869565664,2016,1
28535233193002565674,2016,0
28536833822559565685,2016,2
28567814301953294220,2016,0
28571925131995564989,2016,3
28571925166708564989,2016,0
28571925523353564989,2016,2
28575150450629292029,2016,0
28580259786382299328,2016,3
28581251304588295304,2016,2
28600726950682292028,2016,0
28609496091653292820,2016,1
28615299464213565974,2016,0
28624196953093292842,2016,0
28641915161018563489,2016,3
28644115681336563457,2016,0
28670227959582293728,2016,0
28724941434628298282,2016,0
28743958165231563212,2016,3
28774115563574563857,2016,0
28834167503020292853,2016,0
28850203688121563894,2016,1
28851308823549563853,2016,0
28851933527568563889,2016,2
28855208393551563874,2016,0
28871834459593293742,2016,0
28875950454342298893,2016,0
28876027459129292929,2016,1
28876059439129292929,2016,3
28891684399481588264,2016,1
28893398474328298882,2016,1
28921207914388298804,2016,0
28922749880182594228,2016,2
28929905004529295329,2016,0
28940299520067565994,2016,0
28941933394915565989,2016,1
28956892191258564485,2016,1
29016062471929294229,2016,1
29238439093020292853,2016,1
29320878951393299342,2016,1
29329227474193294242,2016,2
29338105430982298228,2016,3
29344422096804292988,2016,3
29384478093604292888,2016,3
29484041933537290437,2016,0
29496001951929294229,2016,1
29497049301920294253,2016,3
29510398919520293753,2016,0
29580241064582295328,2016,0
29584889091537294237,2016,2
29586051061929294229,2016,0
29586051061929294229,2016,0
29586714196353299320,2016,0
29675901454729290429,2016,1
29676139434729290429,2016,3
29678696198020290453,2016,0
29735041194788290404,2016,0
29797867096353299320,2016,0
29863533194588295304,2016,1
29866681064542295393,2016,2
29868741917053295320,2016,2
29898651199520293753,2016,1
29909807951942294293,2016,3
30111308392020563815,2016,3
30141615449579564403,2016,3
30141992326015564408,2016,1
30143592591224564425,2016,3
30200215138837563465,2016,0
30204115358559563484,2016,3
30283592411273564425,2016,1
30294158164056568284,2016,0
30316833021319563458,2016,2
30430215457787563465,2016,0
30711933130534563608,2016,0
30714103566636563684,2016,3
30723592464857584425,2016,1
30796833469878565658,2016,0
30884608520312563833,2016,0
30981365022775564515,2016,0
36054665328201564933,2016,3
36064603383090565633,2016,1
36201692025676563403,2016,3
36201903685689563408,2016,1
36203965195613563458,2016,2
36204603165668563433,2016,0
36221633190083565903,2016,3
36225233414136565999,2016,2
36275265193877565699,2016,3
36291692463614568203,2016,0
36321984359189563208,2016,0
36323599397433583225,2016,3
36325299463778563299,2016,0
36344103359017565684,2016,2
36361933324101565908,2016,3
36383558491621564525,2016,0
36401992394974565925,2016,2
36403984130823565992,2016,0
36440292357224564465,2016,0
36441615463968564403,2016,3
36441692491272564403,2016,0
36443592824474564425,2016,2
36450225688580563465,2016,0
36451325361381563415,2016,1
36454692161368563433,2016,0
36455292468802563499,2016,1
36495258194658568299,2016,2
36496884449487568258,2016,1
36506892366359563458,2016,3
36545284135701563608,2016,0
36560215133103583865,2016,3
36561615390365563803,2016,3
36591665198030564903,2016,0
36731633465912563603,2016,0
